PP,lon,lat
141.627428,-10.5,3.5
839.6539031,-10.5,30.5
503.6497409,-10.5,31.5
192.0378701,-10.5,32.5
167.3941703,-10.5,33.5
171.8260497,-10.5,34.5
185.4528854,-10.5,35.5
233.9087447,-10.5,36.5
298.4916007,-10.5,37.5
403.3951573,-10.5,38.5
301.8229921,-10.5,39.5
224.099763,-10.5,4.5
297.6260982,-10.5,40.5
314.611752,-10.5,41.5
356.4148108,-10.5,42.5
292.855571,-10.5,43.5
281.1237595,-10.5,44.5
272.1986785,-10.5,45.5
270.0177357,-10.5,46.5
290.9857527,-10.5,47.5
318.3556215,-10.5,48.5
316.1036897,-10.5,49.5
414.6193442,-10.5,5.5
385.9279761,-10.5,50.5
623.4605315,-10.5,51.5
331.9596609,-10.5,54.5
285.8536948,-10.5,55.5
274.7122614,-10.5,56.5
261.7546695,-10.5,57.5
249.7566355,-10.5,58.5
250.2480087,-10.5,59.5
237.0032368,-10.5,60.5
233.1500443,-10.5,61.5
247.1258249,-10.5,62.5
277.6942085,-10.5,63.5
239.1667805,-10.5,64.5
174.4085969,-10.5,65.5
150.0696417,-10.5,66.5
122.4529927,-10.5,67.5
121.4827437,-10.5,68.5
134.9849924,-10.5,69.5
139.3211917,-10.5,70.5
122.0673063,-10.5,71.5
132.7036093,-10.5,72.5
135.5342293,-10.5,73.5
130.9280761,-10.5,74.5
71.58772801,-10.5,75.5
38.91495496,-10.5,76.5
29.0259588,-10.5,77.5
29.17799596,-10.5,78.5
36.44559544,-10.5,79.5
29.61981565,-10.5,80.5
24.58672216,-10.5,81.5
212.4961308,-100.5,-0.5
206.4323122,-100.5,-1.5
145.475571,-100.5,-10.5
145.3156019,-100.5,-11.5
146.2467788,-100.5,-12.5
145.6885397,-100.5,-13.5
144.4503663,-100.5,-14.5
140.3070998,-100.5,-15.5
135.8681774,-100.5,-16.5
129.4672183,-100.5,-17.5
116.5596932,-100.5,-18.5
99.14914507,-100.5,-19.5
183.7614857,-100.5,-2.5
83.04157725,-100.5,-20.5
71.22525654,-100.5,-21.5
62.81825102,-100.5,-22.5
56.73296574,-100.5,-23.5
54.59684643,-100.5,-24.5
53.98115607,-100.5,-25.5
53.40319378,-100.5,-26.5
55.04553527,-100.5,-27.5
57.55793164,-100.5,-28.5
61.2392314,-100.5,-29.5
172.3443389,-100.5,-3.5
67.03124058,-100.5,-30.5
74.05666954,-100.5,-31.5
84.8928832,-100.5,-32.5
95.37104745,-100.5,-33.5
105.2972856,-100.5,-34.5
110.6800638,-100.5,-35.5
112.6754259,-100.5,-36.5
113.17926,-100.5,-37.5
111.3146749,-100.5,-38.5
107.8333537,-100.5,-39.5
168.4545796,-100.5,-4.5
102.1332418,-100.5,-40.5
97.22181335,-100.5,-41.5
92.59359042,-100.5,-42.5
88.01096918,-100.5,-43.5
82.82985071,-100.5,-44.5
77.78747721,-100.5,-45.5
72.56236009,-100.5,-46.5
67.54102361,-100.5,-47.5
64.27473672,-100.5,-48.5
63.3999175,-100.5,-49.5
163.5899794,-100.5,-5.5
63.01431098,-100.5,-50.5
63.09445206,-100.5,-51.5
63.28969595,-100.5,-52.5
63.04706848,-100.5,-53.5
63.57157491,-100.5,-54.5
63.38848797,-100.5,-55.5
62.92988979,-100.5,-56.5
59.4303993,-100.5,-57.5
59.04757747,-100.5,-58.5
57.95319065,-100.5,-59.5
157.3146308,-100.5,-6.5
56.19836332,-100.5,-60.5
50.26398877,-100.5,-61.5
41.389233,-100.5,-62.5
34.47161485,-100.5,-63.5
30.09682954,-100.5,-64.5
28.26293384,-100.5,-65.5
29.69774023,-100.5,-66.5
29.78751481,-100.5,-67.5
27.21248504,-100.5,-68.5
24.53822635,-100.5,-69.5
150.6964117,-100.5,-7.5
19.94471516,-100.5,-70.5
146.7366375,-100.5,-8.5
145.2248497,-100.5,-9.5
185.3443807,-100.5,0.5
153.8830927,-100.5,1.5
160.6256416,-100.5,10.5
150.5506576,-100.5,11.5
137.9613441,-100.5,12.5
127.7336108,-100.5,13.5
124.5914887,-100.5,14.5
141.6439757,-100.5,15.5
270.8241234,-100.5,16.5
134.1155975,-100.5,2.5
122.65243,-100.5,3.5
113.3305164,-100.5,4.5
108.8261791,-100.5,5.5
113.9653329,-100.5,6.5
128.5778298,-100.5,7.5
19.85688481,-100.5,71.5
23.63050742,-100.5,74.5
29.74395735,-100.5,77.5
142.3192118,-100.5,8.5
154.020159,-100.5,9.5
212.5507651,-101.5,-0.5
205.1352184,-101.5,-1.5
145.2069159,-101.5,-10.5
143.6262153,-101.5,-11.5
143.7294979,-101.5,-12.5
143.1294456,-101.5,-13.5
141.4096677,-101.5,-14.5
137.5232593,-101.5,-15.5
133.2815713,-101.5,-16.5
125.9083736,-101.5,-17.5
113.7996518,-101.5,-18.5
96.83090879,-101.5,-19.5
182.7959333,-101.5,-2.5
79.77273129,-101.5,-20.5
68.60600064,-101.5,-21.5
59.9986832,-101.5,-22.5
54.90605346,-101.5,-23.5
52.84942004,-101.5,-24.5
52.28269942,-101.5,-25.5
52.01166831,-101.5,-26.5
53.97726749,-101.5,-27.5
56.23757746,-101.5,-28.5
59.69537636,-101.5,-29.5
171.2404596,-101.5,-3.5
65.0488939,-101.5,-30.5
71.83283767,-101.5,-31.5
83.08198793,-101.5,-32.5
93.36770249,-101.5,-33.5
103.3835802,-101.5,-34.5
109.1887405,-101.5,-35.5
112.3233588,-101.5,-36.5
112.442701,-101.5,-37.5
111.3039426,-101.5,-38.5
107.5982407,-101.5,-39.5
167.1620893,-101.5,-4.5
101.9712111,-101.5,-40.5
97.2065521,-101.5,-41.5
93.07275099,-101.5,-42.5
88.52542039,-101.5,-43.5
83.22232744,-101.5,-44.5
78.98137362,-101.5,-45.5
73.0792627,-101.5,-46.5
68.24503006,-101.5,-47.5
64.85323082,-101.5,-48.5
64.07723298,-101.5,-49.5
161.2824466,-101.5,-5.5
64.59144132,-101.5,-50.5
63.93090043,-101.5,-51.5
63.82259686,-101.5,-52.5
62.77611486,-101.5,-53.5
64.01722019,-101.5,-54.5
63.66840635,-101.5,-55.5
62.6155023,-101.5,-56.5
59.51353943,-101.5,-57.5
59.06570281,-101.5,-58.5
57.93735479,-101.5,-59.5
155.0375034,-101.5,-6.5
55.37429851,-101.5,-60.5
49.61393996,-101.5,-61.5
40.20300569,-101.5,-62.5
33.5020077,-101.5,-63.5
29.86455385,-101.5,-64.5
28.20565557,-101.5,-65.5
29.90459306,-101.5,-66.5
30.32119907,-101.5,-67.5
27.57567202,-101.5,-68.5
24.64112537,-101.5,-69.5
150.2651363,-101.5,-7.5
19.3385532,-101.5,-70.5
19.88611803,-101.5,-71.5
146.6215593,-101.5,-8.5
145.6950657,-101.5,-9.5
185.4974455,-101.5,0.5
154.1177115,-101.5,1.5
148.8045256,-101.5,10.5
139.5900147,-101.5,11.5
129.505803,-101.5,12.5
119.1732482,-101.5,13.5
115.7901508,-101.5,14.5
124.4091012,-101.5,15.5
217.051689,-101.5,16.5
136.1862097,-101.5,2.5
124.4520132,-101.5,3.5
113.8522689,-101.5,4.5
107.2007934,-101.5,5.5
110.6500702,-101.5,6.5
122.391378,-101.5,7.5
